"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u818",NA,5,NA,NA,NA,7,5,NA,7,NA,NA,3,4,NA,NA,NA,4,NA,NA,NA,7,NA,3,6,NA,5,NA,NA,5,5,NA,NA,5,4,4,4,NA,5,NA,5,5,NA,8,NA,NA,NA,6,NA,6,5,NA,6,NA,5,NA,NA,NA,NA,NA,7,NA,NA,6,5,NA,NA,NA,6,6,7,5,NA,NA,6,NA,4,NA,NA,NA,NA,3,NA,7,3,NA,NA,NA,NA,NA,6,5,5,5,NA,5,5,NA,7,5,7
"u819",6,4,NA,5,NA,5,5,NA,5,6,5,NA,NA,NA,NA,4,NA,4,7,5,4,NA,5,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7,5,4,NA,NA,4,4,7,NA,NA,5,6,7,5,NA,5,NA,5,NA,NA,4,NA,6,NA,NA,4,5,4,4,5,NA,NA,NA,4,4,6,6,4,NA,NA,5,NA,NA,5,NA,5,NA,NA,4,5,6,5,5,7,5,NA,NA,NA,NA,6,NA,6
"u820",NA,2,6,5,5,NA,7,NA,5,NA,4,NA,NA,NA,NA,6,4,6,NA,6,6,8,NA,5,NA,NA,8,NA,NA,6,NA,6,5,NA,NA,4,5,6,4,NA,3,NA,NA,NA,6,NA,6,NA,5,NA,8,NA,NA,6,NA,5,7,5,NA,NA,6,4,NA,6,6,NA,NA,6,NA,6,NA,NA,4,NA,NA,NA,NA,NA,NA,5,4,5,NA,NA,5,NA,8,NA,6,4,NA,NA,7,NA,NA,4,NA,6,5,NA
"u821",NA,5,NA,5,5,NA,NA,6,NA,7,NA,5,NA,5,5,5,NA,6,NA,NA,NA,6,NA,NA,6,NA,10,NA,NA,6,NA,4,NA,NA,NA,5,5,NA,NA,NA,NA,4,NA,NA,5,8,NA,NA,NA,NA,8,6,6,NA,NA,5,NA,NA,6,4,NA,6,NA,4,NA,NA,NA,6,8,NA,NA,6,5,5,NA,NA,NA,NA,7,5,5,5,NA,NA,5,NA,5,NA,NA,5,NA,NA,NA,5,NA,6,NA,6,6,NA
"u822",5,NA,7,NA,5,6,NA,NA,5,7,NA,NA,NA,7,NA,4,NA,5,7,6,NA,NA,4,NA,NA,NA,8,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,5,5,5,NA,NA,NA,6,NA,NA,7,NA,8,5,6,NA,5,NA,NA,NA,NA,7,NA,5,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,6,5,NA,NA,NA,5,4,5,NA,5,6,5,NA,5,6,5,NA,5,NA,4,NA,NA,5,6,NA,6
"u823",NA,6,6,6,NA,5,6,5,6,NA,NA,NA,5,5,5,NA,NA,NA,6,6,NA,6,5,NA,NA,3,7,NA,6,NA,5,5,6,4,5,4,5,NA,6,NA,NA,NA,NA,NA,6,NA,6,5,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,5,NA,6,4,6,6,5,NA,6,6,NA,6,5,NA,6,5,4,5,NA,6,NA,NA,NA,5,6,NA,NA,4,7,6,5,NA,NA,NA,NA,5,8
"u824",7,4,NA,NA,NA,4,NA,NA,6,6,5,NA,NA,NA,NA,3,4,NA,NA,NA,6,5,NA,4,NA,6,7,NA,5,NA,4,6,5,NA,6,NA,NA,4,4,NA,NA,3,6,NA,NA,7,NA,6,4,4,7,NA,NA,5,NA,NA,5,NA,NA,NA,6,NA,5,NA,5,NA,NA,6,8,4,7,6,6,NA,5,NA,NA,NA,4,NA,4,6,NA,2,NA,4,4,NA,NA,6,7,NA,NA,6,3,5,NA,NA,6,NA
"u825",5,5,NA,6,5,NA,NA,NA,NA,6,4,NA,NA,7,5,4,NA,5,6,5,6,NA,NA,5,6,3,NA,5,6,6,NA,NA,NA,NA,NA,5,NA,5,NA,NA,4,NA,7,4,5,NA,NA,6,NA,NA,NA,5,NA,5,6,NA,7,6,5,NA,NA,NA,NA,4,5,NA,NA,6,7,NA,5,5,NA,5,NA,NA,5,NA,5,NA,NA,NA,7,4,NA,NA,NA,5,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,6
"u826",NA,NA,5,6,NA,NA,NA,4,6,NA,5,NA,4,NA,NA,NA,6,NA,7,NA,NA,7,NA,4,6,NA,6,4,NA,7,5,NA,4,NA,6,5,NA,NA,5,5,3,5,5,3,NA,NA,6,7,NA,5,6,4,5,NA,5,4,NA,5,NA,5,NA,NA,NA,NA,6,4,NA,NA,NA,5,NA,6,4,NA,NA,NA,5,NA,6,NA,NA,6,NA,5,5,4,4,NA,5,4,4,NA,NA,5,NA,7,NA,6,6,7
"u827",6,NA,NA,NA,NA,NA,6,5,6,NA,NA,NA,NA,NA,5,NA,NA,6,NA,NA,NA,6,NA,6,6,NA,7,6,5,7,6,5,5,5,NA,NA,NA,5,6,NA,4,6,6,NA,NA,5,4,NA,6,NA,NA,NA,NA,NA,5,6,6,4,NA,NA,6,4,6,6,NA,NA,NA,NA,NA,5,NA,NA,3,5,NA,5,NA,NA,NA,NA,6,NA,7,5,NA,NA,NA,NA,5,NA,NA,5,6,6,NA,6,4,6,5,7
"u828",6,NA,NA,NA,7,NA,NA,5,5,NA,NA,5,4,4,NA,5,4,5,NA,NA,4,NA,2,7,5,NA,NA,5,NA,6,NA,5,NA,3,5,NA,NA,3,NA,NA,NA,NA,NA,3,6,NA,6,NA,5,NA,NA,4,NA,5,7,NA,NA,4,6,NA,NA,3,7,5,6,NA,NA,7,NA,5,7,NA,4,NA,3,NA,5,6,5,6,NA,NA,NA,5,NA,NA,5,6,4,NA,6,NA,7,6,5,5,4,7,4,NA
"u829",6,NA,7,6,NA,6,NA,6,NA,8,NA,NA,5,5,NA,5,4,NA,6,6,4,6,NA,NA,NA,5,NA,NA,NA,6,NA,5,NA,5,NA,NA,NA,NA,NA,6,4,4,6,4,NA,7,NA,NA,NA,5,NA,5,6,6,NA,5,NA,5,5,4,NA,5,6,4,6,5,NA,NA,7,5,NA,6,5,NA,5,4,6,NA,NA,6,5,4,7,NA,NA,5,NA,6,NA,NA,NA,7,NA,5,NA,6,NA,NA,7,NA
"u830",5,NA,NA,5,NA,6,NA,NA,NA,NA,5,4,7,6,5,NA,4,NA,7,4,5,NA,NA,4,6,NA,NA,6,NA,NA,6,NA,7,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,8,NA,NA,NA,NA,6,NA,NA,5,5,NA,NA,4,5,6,6,NA,5,5,NA,NA,NA,NA,8,NA,7,5,NA,6,5,4,3,NA,5,NA,NA,NA,7,6,NA,NA,5,4,4,6,4,6,5,6,NA,NA,NA,NA,6,7
"u831",NA,4,NA,NA,NA,NA,NA,8,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,NA,5,NA,6,6,5,NA,NA,6,NA,5,3,NA,4,6,NA,NA,5,6,NA,5,6,6,6,NA,NA,6,5,NA,5,4,NA,NA,NA,5,6,6,3,5,4,6,5,NA,NA,6,NA,5,NA,5,4,NA,NA,4,6,NA,6,6,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,5,NA,4,9
"u832",8,6,NA,5,NA,5,NA,NA,7,6,5,5,4,NA,4,NA,5,6,5,5,6,NA,4,NA,6,NA,7,7,NA,NA,NA,NA,NA,NA,4,NA,NA,5,4,4,4,6,NA,NA,4,NA,NA,NA,NA,5,NA,6,6,NA,NA,NA,4,5,5,NA,5,NA,7,5,7,NA,NA,NA,NA,7,NA,5,3,6,5,NA,NA,5,5,NA,4,5,7,NA,NA,NA,5,NA,2,6,NA,6,6,7,NA,NA,NA,7,4,7
"u833",NA,NA,NA,NA,NA,NA,5,6,NA,6,NA,NA,4,NA,NA,NA,NA,4,6,6,NA,5,5,4,NA,NA,NA,6,NA,NA,6,4,NA,NA,NA,NA,5,5,6,NA,NA,NA,6,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,6,NA,NA,NA,5,NA,NA,NA,NA,3,6,5,NA,5,7,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,NA,NA,5,NA,7,NA,NA,6,6,8
"u834",5,6,NA,7,NA,NA,5,NA,NA,7,4,NA,3,NA,NA,4,NA,6,6,NA,NA,6,NA,5,NA,NA,8,NA,7,NA,NA,NA,NA,4,5,NA,NA,4,6,NA,3,NA,NA,NA,NA,8,NA,NA,6,5,7,NA,5,NA,NA,5,6,NA,5,NA,NA,5,NA,5,NA,4,NA,NA,7,5,6,6,NA,NA,5,NA,3,4,7,5,6,6,NA,4,NA,6,4,NA,NA,5,5,5,7,5,4,5,5,7,5,NA
"u835",NA,4,NA,4,4,5,7,5,6,NA,NA,5,3,6,4,4,5,NA,5,NA,4,7,NA,6,4,NA,7,NA,6,4,NA,NA,NA,6,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4,5,NA,NA,3,5,4,NA,NA,6,NA,NA,NA,5,5,4,NA,5,NA,NA,5,4,4,6,NA,6,7,NA,NA,4,NA,NA,NA,5,4,NA,NA,4,NA,5,NA,6,5,5,4,4,7,NA,NA
"u836",NA,NA,4,5,5,6,NA,6,7,NA,7,NA,5,NA,NA,5,6,NA,NA,3,NA,NA,5,6,6,5,NA,NA,6,6,NA,6,6,NA,NA,NA,6,4,4,4,5,NA,7,5,NA,6,8,8,NA,NA,NA,NA,NA,3,5,NA,NA,NA,5,NA,NA,NA,6,NA,NA,NA,4,NA,7,NA,8,NA,NA,5,NA,NA,4,NA,NA,5,NA,6,7,4,8,3,4,5,NA,6,5,4,NA,NA,NA,6,NA,6,5,8
"u837",6,5,NA,4,6,5,NA,7,NA,8,NA,NA,NA,NA,5,4,6,NA,5,6,5,6,4,NA,6,4,NA,5,NA,4,NA,NA,5,NA,5,NA,NA,3,NA,NA,NA,NA,9,NA,NA,NA,NA,8,NA,NA,NA,5,7,NA,2,6,NA,NA,4,5,8,NA,6,NA,NA,NA,NA,6,NA,5,6,NA,5,6,5,6,NA,NA,5,NA,NA,NA,7,NA,NA,NA,NA,5,4,NA,NA,4,NA,NA,4,6,NA,7,NA,9
"u838",NA,4,NA,6,NA,5,6,6,5,NA,NA,3,NA,NA,5,NA,5,4,6,NA,NA,NA,5,NA,NA,5,NA,NA,6,7,6,6,5,NA,NA,NA,NA,5,6,NA,4,5,6,NA,5,NA,NA,5,5,5,NA,5,5,NA,NA,5,5,NA,5,6,NA,NA,NA,NA,7,3,NA,NA,6,NA,NA,NA,5,NA,6,NA,NA,NA,NA,7,4,6,7,4,5,3,NA,NA,NA,NA,5,5,NA,5,4,NA,4,NA,5,7
"u839",7,NA,6,NA,NA,NA,5,NA,NA,NA,4,6,NA,7,5,NA,4,5,6,6,NA,NA,NA,NA,NA,6,8,5,6,7,NA,5,5,4,NA,5,NA,NA,NA,NA,4,NA,6,NA,NA,7,NA,7,NA,7,8,3,5,NA,5,NA,6,6,NA,NA,5,NA,NA,NA,NA,NA,NA,6,6,4,NA,5,3,6,NA,NA,NA,5,NA,6,6,NA,NA,5,6,6,NA,NA,4,NA,6,5,NA,4,5,NA,NA,NA,5,NA
"u840",5,6,6,NA,6,6,7,6,4,6,NA,5,5,5,NA,NA,NA,NA,5,NA,NA,7,NA,NA,NA,4,NA,NA,6,5,6,4,NA,NA,NA,5,NA,NA,7,NA,4,NA,9,6,4,7,NA,7,5,NA,NA,5,5,NA,5,NA,6,6,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,6,5,5,NA,5,NA,NA,5,6,NA,NA,5,NA,6,NA,NA,NA,NA,8,6,NA
"u841",NA,4,NA,6,NA,NA,4,NA,7,6,NA,NA,5,NA,NA,4,7,NA,8,NA,5,NA,NA,NA,6,4,NA,6,NA,6,5,NA,NA,4,6,NA,NA,NA,7,3,4,5,7,NA,NA,7,NA,7,6,4,6,NA,6,NA,NA,4,6,6,4,NA,6,4,NA,4,4,NA,4,NA,8,5,NA,5,4,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,4,NA,5,NA,6,NA,6,NA,NA,5,NA,NA,NA,8
"u842",7,NA,NA,NA,NA,NA,6,5,6,NA,NA,4,3,NA,5,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,NA,5,6,NA,4,NA,NA,NA,NA,NA,NA,3,NA,5,NA,3,NA,5,5,8,7,NA,NA,5,NA,NA,7,NA,NA,4,6,NA,5,NA,NA,NA,6,NA,7,NA,5,NA,7,NA,6,4,4,NA,5,6,4,NA,6,NA,4,6,7,NA,NA,NA,5,4,NA,NA,4,5,6,4,NA,NA,4,8,NA,8
"u843",NA,6,6,NA,NA,NA,NA,NA,5,NA,NA,4,6,4,NA,NA,4,NA,NA,NA,NA,6,NA,5,5,NA,NA,4,NA,NA,4,NA,5,5,6,4,NA,5,7,4,5,NA,NA,3,6,7,NA,NA,NA,6,NA,5,5,NA,NA,4,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,NA,6,NA,3,5,NA,NA,NA,6,6,NA,5,5,NA,NA,5,5,NA,6,7,NA,5,6,NA,7,5,7
"u844",NA,NA,6,NA,NA,8,6,NA,NA,5,4,5,5,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,7,7,7,5,5,5,4,NA,6,5,5,5,5,NA,NA,NA,5,NA,8,7,NA,NA,5,NA,NA,NA,4,5,NA,NA,NA,6,5,6,4,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,5,NA,6,6,NA,7,6,NA,4,NA,NA,NA,6,NA,6,NA,6,NA,4,6,5,NA,NA,6,8
"u845",NA,6,NA,NA,NA,NA,NA,6,5,6,NA,NA,NA,NA,NA,4,5,NA,NA,6,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,5,NA,5,NA,NA,4,4,7,NA,NA,4,NA,NA,3,NA,NA,6,NA,6,5,5,5,6,NA,3,6,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,4,5,NA,3,NA,NA,6,NA,NA,NA,NA,3,7,4,NA,NA,NA,NA,NA,NA,4,5,5,5,NA,NA,5,6
"u846",6,NA,NA,NA,6,7,7,NA,6,6,4,NA,3,NA,NA,5,NA,5,7,NA,NA,6,5,5,6,NA,6,NA,NA,NA,NA,5,7,NA,4,NA,4,5,NA,5,NA,NA,NA,NA,NA,7,NA,6,NA,NA,NA,NA,4,5,NA,4,7,4,4,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,6,NA,NA,5,NA,NA,5,5,7,NA,5,NA,5,NA,4,NA,NA,NA,NA,NA,4,6,6,5,NA,6,NA,NA,8
"u847",6,4,NA,NA,6,NA,7,6,NA,NA,4,NA,5,5,NA,5,5,7,8,NA,NA,7,NA,NA,5,NA,NA,NA,NA,5,NA,6,4,4,NA,6,NA,5,NA,NA,NA,NA,7,4,4,6,6,NA,NA,4,NA,NA,NA,NA,NA,4,7,4,NA,6,NA,NA,6,NA,6,5,5,6,8,NA,6,6,NA,6,NA,6,4,6,3,NA,6,NA,7,NA,6,4,NA,6,4,NA,6,6,NA,NA,NA,5,4,6,5,NA
"u848",NA,NA,NA,NA,5,NA,8,6,NA,5,6,3,NA,7,5,4,NA,NA,4,6,NA,7,5,6,NA,5,7,5,NA,NA,NA,NA,NA,5,5,4,5,5,NA,NA,NA,5,7,NA,4,NA,6,5,4,6,NA,6,5,NA,5,6,6,NA,5,6,NA,4,NA,5,NA,5,4,5,NA,4,7,3,NA,NA,7,NA,NA,NA,NA,5,5,7,9,NA,4,6,NA,NA,4,7,5,NA,NA,5,NA,5,5,NA,NA,8
"u849",NA,6,NA,NA,NA,5,NA,4,6,NA,NA,4,4,NA,4,4,NA,5,6,6,4,NA,NA,NA,8,4,7,NA,5,NA,NA,4,5,NA,NA,5,NA,5,NA,4,6,NA,NA,4,4,NA,NA,6,6,NA,8,NA,5,NA,5,NA,6,4,NA,NA,NA,5,NA,NA,7,6,NA,7,NA,3,7,7,NA,6,NA,3,6,NA,NA,7,5,NA,NA,6,6,NA,NA,5,NA,NA,NA,NA,7,5,NA,NA,NA,NA,5,6
"u850",6,NA,NA,NA,4,6,6,NA,NA,6,5,5,4,6,NA,3,NA,NA,NA,6,6,6,NA,5,NA,NA,NA,NA,7,5,NA,NA,6,NA,NA,5,5,5,6,4,NA,5,NA,NA,NA,NA,NA,6,NA,NA,7,3,NA,6,5,5,6,NA,5,NA,6,4,NA,5,5,5,NA,7,NA,3,NA,6,4,6,NA,NA,NA,NA,7,NA,NA,NA,7,3,NA,4,NA,NA,NA,6,NA,NA,5,NA,NA,NA,NA,7,5,7
"u851",7,5,NA,NA,5,NA,6,NA,5,NA,NA,5,NA,NA,6,5,NA,NA,NA,NA,4,NA,5,4,NA,NA,NA,NA,6,5,5,NA,NA,NA,5,5,5,5,NA,4,NA,NA,6,NA,NA,NA,6,7,5,NA,NA,3,NA,NA,NA,NA,6,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,4,4,6,NA,5,4,4,NA,6,NA,NA,3,6,NA,NA,NA,NA,7,6,6,NA,5,NA,NA,5,4,NA,NA
"u852",6,4,7,5,NA,NA,6,7,6,7,6,3,7,NA,NA,4,NA,NA,7,5,5,7,NA,5,NA,NA,NA,4,NA,NA,NA,NA,6,NA,6,4,5,4,6,4,NA,5,NA,4,4,6,6,6,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,6,4,NA,5,NA,NA,6,NA,7,NA,NA,7,3,5,4,5,5,NA,6,6,6,6,NA,NA,7,NA,5,7,NA,NA,6,5,5,3,6,NA,NA,NA,NA,NA
"u853",6,NA,6,NA,NA,NA,6,4,NA,7,NA,NA,6,NA,4,NA,NA,NA,6,NA,NA,NA,4,NA,5,NA,9,6,NA,7,NA,NA,5,NA,NA,6,6,4,7,5,4,NA,NA,5,5,NA,5,6,NA,NA,7,5,NA,NA,6,6,6,NA,4,NA,7,NA,7,NA,5,NA,6,5,7,3,5,NA,3,7,5,4,NA,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,6,6,NA,NA,4,4,4,NA,4,NA
"u854",NA,NA,9,NA,NA,NA,NA,5,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,6,NA,7,NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,5,NA,6,NA,4,NA,5,NA,NA,6,4,NA,7,NA,6,6,5,NA,6,4,NA,NA,NA,NA,6,5,5,NA,NA,6,NA,6,NA,4,NA,8,5,6,6,NA,NA,4,NA,5,7,5,NA,6,5,NA,4,NA,NA,4,5,NA,NA,NA,5,NA,NA,5,6,NA,8,5,8
"u855",7,NA,7,6,6,NA,5,7,NA,6,5,3,NA,NA,NA,4,6,NA,NA,5,NA,6,NA,6,6,6,9,7,5,5,5,5,NA,NA,6,NA,NA,5,6,5,4,5,NA,NA,5,NA,7,6,NA,4,7,7,7,4,4,5,5,5,NA,4,NA,NA,NA,5,NA,5,NA,5,8,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,4,6,NA,NA,5,7,NA,NA,5,NA,NA,NA,NA,6,NA
"u856",6,5,NA,6,NA,6,NA,NA,6,NA,5,NA,NA,6,NA,NA,NA,4,NA,NA,NA,7,2,6,5,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,6,7,5,NA,7,NA,5,NA,NA,4,NA,7,NA,8,NA,NA,6,NA,NA,NA,NA,6,5,5,4,6,4,NA,6,NA,4,NA,4,NA,4,NA,NA,7,3,5,NA,NA,5,6,5,7,NA,6,NA,6,NA,4,NA,5,NA,NA,7,4,6,NA,NA,NA,8
"u857",6,NA,5,NA,4,NA,NA,5,NA,6,NA,NA,5,6,6,5,NA,5,NA,NA,6,NA,NA,NA,6,5,7,5,5,NA,NA,4,6,NA,5,NA,5,6,NA,NA,3,4,7,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,5,NA,5,6,NA,4,7,4,NA,NA,NA,NA,NA,NA,8,6,4,6,NA,6,5,6,5,6,4,6,8,4,4,NA,NA,6,NA,NA,NA,4,5,NA,NA,NA,5,7,6,7
"u858",5,4,5,5,NA,7,5,5,NA,5,NA,NA,NA,6,NA,5,5,NA,6,NA,NA,NA,5,7,NA,5,8,NA,6,NA,6,5,NA,NA,6,NA,6,5,5,NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,5,4,5,NA,4,NA,5,NA,6,NA,5,NA,NA,5,4,NA,5,6,NA,6,5,4,NA,NA,5,5,6,5,7,5,5,7,4,5,6,5,4,NA,NA,5,6,6,NA,NA,NA,6,7,6,6
"u859",NA,5,4,NA,5,5,NA,NA,4,NA,5,NA,NA,NA,5,3,3,5,NA,NA,5,7,5,4,5,5,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,NA,7,NA,NA,5,6,5,NA,4,NA,6,6,NA,8,5,6,5,3,NA,NA,NA,NA,NA,NA,NA,6,NA,5,NA,NA,4,6,5,NA,5,NA,NA,5,NA,5,NA,NA,5,NA,NA,9,NA,7,5,5,6,NA,NA,5,5,NA,6,NA,NA,5,NA,NA,NA
"u860",NA,NA,NA,5,NA,NA,NA,5,NA,NA,4,5,3,5,NA,5,NA,5,6,NA,4,NA,NA,NA,5,5,NA,5,NA,NA,NA,5,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,3,6,6,7,NA,NA,5,5,4,NA,NA,5,5,6,NA,NA,6,NA,4,6,NA,NA,NA,4,NA,6,NA,NA,5,4,NA,NA,NA,6,6,5,NA,4,5,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,5,NA,5,NA,NA,NA,NA
"u861",NA,NA,7,NA,6,NA,5,NA,6,NA,5,5,NA,NA,6,4,NA,4,NA,NA,NA,4,5,NA,NA,5,NA,6,NA,5,6,NA,5,3,6,4,7,NA,NA,NA,4,6,NA,4,NA,6,NA,6,NA,4,NA,5,6,5,NA,NA,6,3,NA,NA,5,NA,7,6,4,5,4,5,7,4,NA,NA,4,NA,NA,NA,NA,5,NA,NA,5,4,8,NA,5,NA,5,6,NA,NA,7,4,NA,6,6,NA,NA,NA,NA,7
"u862",7,NA,6,NA,4,NA,NA,NA,NA,7,4,5,NA,6,4,NA,5,NA,NA,6,4,6,5,6,6,6,7,NA,NA,NA,NA,4,NA,NA,NA,6,NA,NA,7,5,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,7,NA,NA,NA,6,NA,4,NA,NA,6,NA,NA,5,5,6,5,NA,NA,4,NA,NA,8
"u863",NA,5,NA,NA,NA,NA,NA,5,NA,6,5,NA,NA,4,5,NA,NA,6,5,NA,5,NA,5,5,3,NA,7,NA,NA,NA,NA,7,NA,5,6,4,NA,NA,5,NA,NA,NA,NA,NA,6,NA,NA,6,5,6,NA,5,6,NA,NA,5,NA,4,6,NA,6,NA,NA,NA,6,NA,NA,6,NA,4,8,NA,3,6,NA,4,4,NA,NA,6,NA,NA,NA,NA,NA,NA,4,6,NA,6,4,6,7,6,NA,5,7,NA,NA,NA
"u864",6,NA,6,NA,NA,6,7,NA,NA,NA,2,5,NA,NA,4,5,NA,NA,NA,5,NA,6,NA,4,5,7,NA,NA,6,5,5,NA,5,NA,NA,NA,4,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,6,NA,7,NA,NA,NA,5,4,6,5,4,NA,4,4,NA,5,5,NA,NA,5,8,NA,6,6,NA,NA,4,NA,NA,NA,6,NA,4,NA,NA,3,4,6,7,NA,NA,NA,5,6,5,3,5,5,NA,7,6,NA
"u865",7,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,6,5,5,4,NA,7,NA,NA,7,NA,4,5,3,NA,NA,NA,5,4,NA,6,5,NA,NA,5,6,NA,NA,NA,NA,NA,3,NA,8,5,6,NA,NA,NA,5,NA,6,5,NA,NA,6,3,5,6,NA,5,4,NA,7,NA,NA,NA,NA,7,NA,5,5,NA,4,6,NA,NA,5,5,NA,5,5,NA,NA,NA,5,5,4,5,NA,NA,5,5,NA,NA,NA,NA,7
"u866",NA,NA,6,5,4,NA,NA,7,NA,NA,NA,5,4,6,NA,NA,NA,5,8,6,5,NA,4,6,5,NA,8,NA,6,NA,NA,5,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5,NA,4,NA,NA,3,5,4,NA,NA,7,5,NA,NA,NA,7,NA,NA,NA,6,4,5,5,NA,NA,5,NA,7,4,NA,6,4,NA,NA,4,4,6,5,4,NA,NA,5,5,5,6,7,6,NA
"u867",7,NA,NA,6,6,6,5,NA,6,7,4,4,NA,4,NA,NA,5,NA,7,NA,NA,NA,NA,NA,5,3,7,NA,6,5,6,5,NA,NA,NA,4,5,5,NA,NA,NA,4,NA,5,6,NA,NA,7,NA,NA,NA,7,6,NA,NA,NA,7,6,NA,4,NA,5,8,3,5,NA,NA,NA,NA,NA,NA,NA,7,NA,6,3,4,NA,NA,6,5,NA,NA,6,NA,4,NA,6,NA,5,5,NA,NA,NA,5,6,4,NA,NA,7
"u868",7,4,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,7,5,3,NA,4,NA,NA,NA,NA,5,5,6,5,4,NA,6,4,6,NA,6,NA,NA,NA,NA,7,7,5,NA,NA,6,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,5,NA,3,6,NA,NA,6,5,5,NA,5,4,8,6,7,NA,NA,6,4,7,NA,NA,5,4,5,5,5,NA,NA,8
"u869",6,NA,NA,4,NA,NA,5,6,6,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5,NA,4,6,NA,NA,5,4,5,6,NA,NA,NA,5,5,NA,5,6,5,6,7,NA,7,7,4,6,4,6,5,6,6,NA,6,6,6,NA,4,7,3,NA,NA,NA,7,NA,5,5,NA,3,5,5,NA,NA,NA,5,6,5,6,NA,4,NA,NA,6,5,5,5,NA,6,NA,NA,3,NA,5,NA,5,9
"u870",6,6,7,NA,NA,NA,6,NA,NA,NA,4,NA,NA,NA,5,2,6,6,NA,NA,6,NA,NA,NA,7,5,NA,NA,6,6,5,4,NA,5,6,4,5,5,NA,NA,NA,4,6,4,NA,NA,5,6,NA,NA,6,NA,6,5,5,5,7,5,5,6,NA,NA,NA,5,5,NA,4,7,NA,NA,NA,7,5,NA,NA,3,NA,6,NA,NA,NA,6,5,NA,NA,NA,NA,5,NA,5,NA,7,6,4,6,7,NA,6,NA,7
